panel,outcome,group,coef,ci_low,ci_high,n
A,Mean log reach,reach,1.275233733544425,0.9384564902111439,1.6120109768777062,591.0
A,Depth mean,shape,1.1580674526481451,0.7230597765859339,1.5930751287103564,591.0
A,Reshare mean,shape,0.3870024997899255,0.12407885211637698,0.6499261474634741,591.0
A,Second-layer width,shape,1.6276294416982886,1.0476459459196792,2.207612937476898,591.0
A,Structural virality,shape,0.8814252922558341,0.4800362880221178,1.2828142964895504,591.0
A,Graph-level centrality,centrality,-1.0359223295450009,-1.2553300474823208,-0.816514611607681,591.0
A,Agent degree centrality,centrality,-1.0437060617136573,-1.2607417092237236,-0.826670414203591,591.0
A,Average out-degree centrality,centrality,-0.9046068245736486,-1.0911938941229777,-0.7180197550243194,591.0
B,Mean log reach,reach,0.2096534656165871,0.1286675166988031,0.2906394145343711,1142.0
B,Depth mean,shape,0.2635317368814984,0.18327964056406276,0.343783833198934,1142.0
B,Reshare mean,shape,0.23743443720770854,0.16122496535512026,0.3136439090602968,1142.0
B,Second-layer width,shape,0.20057483856067618,0.12014609526997755,0.2810035818513748,1142.0
B,Structural virality,shape,0.20590516644552848,0.12069630370147273,0.29111402918958423,1142.0
B,Graph-level centrality,centrality,-0.19515671944452312,-0.29192688304230113,-0.09838655584674509,1142.0
B,Agent degree centrality,centrality,-0.12786410117116273,-0.22424879414870366,-0.0314794081936218,1142.0
B,Average out-degree centrality,centrality,-0.0777504848192132,-0.1788414665334971,0.0233404968950707,1142.0
